Port_ID,Port_Name,Country,Port_Type,Port_Capacity_Tons,Avg_Vessel_Wait_Time_Hours,Port_Utilization_Percent,Active_Vessels,Weather_Disruption_Score,Labor_Availability_Percent,Monthly_Port_Revenue_USD,Operational_Status,Port_Manager,Last_Inspection_Date
PORT007,Singapore Port,Germany,LNG Terminal,394138,43.17,53.41,130,1.52,72.37,15856508.91,Delayed,Manager_46,2026-04-06
PORT020,Hamad Port,China,LNG Terminal,368277,41.57,43.0,15,3.03,73.71,15208535.83,Delayed,Manager_32,2026-06-12
PORT015,Nhava Sheva,UAE,LNG Terminal,373412,23.04,77.12,60,2.18,79.54,28601157.62,Normal,Manager_55,2026-03-20
PORT011,Khor Fakkan,Iraq,Oil Terminal,481459,19.99,53.03,87,4.59,76.85,6877730.96,Delayed,Manager_96,2026-01-05
PORT008,Rotterdam Hub,India,Oil Terminal,238456,14.56,50.44,141,9.3,92.71,45922792.84,Normal,Manager_5,2026-03-01
PORT007,Dammam Port,China,Oil Terminal,81653,23.93,45.14,103,5.25,52.47,36312102.12,Normal,Manager_36,2026-04-30
PORT019,Jebel Ali,Saudi Arabia,Oil Terminal,207729,4.04,45.99,77,1.12,91.67,20670835.91,Normal,Manager_49,2026-02-15
PORT011,Singapore Port,Oman,LNG Terminal,483168,41.2,73.91,119,3.54,92.2,8772583.08,Normal,Manager_58,2026-05-14
PORT011,Jebel Ali,Saudi Arabia,LNG Terminal,465396,3.63,79.92,11,1.4,64.25,44217616.32,Critical,Manager_39,2026-02-25
PORT004,Tianjin Port,UAE,Container Port,278504,17.14,63.05,84,1.33,73.14,41365126.41,Normal,Manager_80,2026-04-20
PORT008,Nhava Sheva,Saudi Arabia,Container Port,171829,44.85,67.83,148,3.48,71.93,36364356.08,Normal,Manager_97,2026-06-06
PORT003,Ruwais Port,Iraq,Oil Terminal,178377,35.82,79.79,101,3.48,60.93,14305805.32,Normal,Manager_85,2026-04-14
PORT002,Shanghai Port,Germany,LNG Terminal,51622,14.94,41.01,8,8.08,69.84,20719885.23,Normal,Manager_61,2026-03-18
